RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-08-06;HGTX3;BRHGTXACNOR9;HGTX;70;929639;13219466,58;0,0700%;0,1500%;0,2200%;0,1300%;0,2100%;2,0000%
2020-08-06;HYPE3;BRHYPEACNOR0;HYPE;56;1608112;57055813,76;0,1000%;0,2000%;0,2200%;0,1500%;0,2400%;2,0000%
2020-08-06;IDVL3;BRIDVLACNOR5;IDVL;1;2132;5585,84;3,0000%;3,0000%;3,0000%;5,0000%;5,0000%;5,0000%
2020-08-06;IGTA3;BRIGTAACNOR5;IGTA;198;429778;14969167,74;0,1000%;0,4500%;30,0000%;0,1000%;0,8600%;35,0000%
2020-08-06;IRBR3;BRIRBRACNOR4;IRBR;153;4684600;35556114;0,1000%;12,4400%;15,0000%;0,1000%;15,0900%;26,5700%
2020-08-06;ITSA3;BRITSAACNOR0;ITSA;15;54887;646568,86;0,1400%;0,2900%;0,4400%;0,3800%;0,7500%;1,3000%
2020-08-06;ITSA4;BRITSAACNPR7;ITSA;60;1224356;12512918,32;0,0200%;0,0700%;0,2400%;0,0600%;0,1300%;1,2000%
2020-08-06;ITUB3;BRITUBACNOR4;ITUB;46;124273;3007406,6;0,1700%;0,2600%;0,5500%;0,3400%;0,7000%;2,5000%
2020-08-06;ITUB4;BRITUBACNPR1;ITUB;72;3102013;79845814,62;0,0200%;0,0300%;0,5000%;0,0300%;0,0800%;1,5000%
2020-08-06;IVVB11;BRIVVBCTF001;IVVB;74;77222;14637430,1;0,6900%;1,4400%;2,1500%;1,4000%;3,3000%;6,0000%
2020-08-06;JBSS3;BRJBSSACNOR8;JBSS;34;534180;11650465,8;0,0600%;0,1100%;0,6300%;0,1000%;0,5900%;2,5000%
2020-08-06;JHSF3;BRJHSFACNOR2;JHSF;33;1095192;9648641,52;2,8400%;6,7800%;7,5000%;5,0000%;8,0600%;15,6600%
2020-08-06;JPSA3;BRJPSAACNOR6;JPSA;5;4101;101827,83;0,6100%;0,9100%;1,0000%;1,2000%;1,9700%;3,5000%
